timestamp,body_language,tone,facial_expression,overall,scenario
2025-03-24 17:28:58.431344,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:58.587979,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:58.743321,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:58.899113,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:59.056998,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:59.212369,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:59.369890,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:59.522576,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:59.678938,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:59.840590,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:59.994990,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:00.161894,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:00.366519,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:00.581505,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:00.781272,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:00.987903,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:01.190601,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:01.346218,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:01.502732,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:01.656700,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:01.810446,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:01.970398,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:02.125775,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:02.284068,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:02.444506,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:02.612403,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:02.766926,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:02.928207,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:03.094347,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:03.255413,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:03.413201,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:03.572604,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:03.738024,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:03.897026,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:04.051654,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:04.205824,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:04.360022,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:04.522026,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:04.677770,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:04.832417,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:04.989809,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:05.145802,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:05.301577,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:05.456477,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:05.613396,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:05.774121,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:05.928064,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:06.085425,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:06.245886,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:06.399106,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:06.560936,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:06.717260,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:06.882866,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:07.037125,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:07.201492,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:07.358993,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:07.516810,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:07.671308,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:07.830598,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:07.989429,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:08.151384,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:08.303233,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:08.461898,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:08.620113,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:08.775088,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:08.931772,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:09.089638,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:09.242873,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:09.407160,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:09.574629,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:09.730110,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:09.887172,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:29:10.048958,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:29:10.262565,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:29:10.471067,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:29:10.691597,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:29:10.903640,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:29:11.105564,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:29:11.260994,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:29:11.419006,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:29:11.588644,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:11.743050,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:11.904222,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:12.060339,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:12.219214,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:12.384863,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:12.544832,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:12.713827,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:12.870303,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:13.026613,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:13.181770,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:13.335082,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:13.491966,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:13.652017,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:13.803887,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:13.963068,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:14.117089,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:14.271817,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:14.429222,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:14.585169,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:14.738475,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:14.898714,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:15.055548,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:15.224428,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:15.380605,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:15.534341,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:15.690120,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:15.849196,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:16.002263,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:16.164117,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:16.327648,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:16.486834,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:16.645740,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:16.803792,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:16.959422,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:17.113096,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:17.267882,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:17.430371,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:17.585743,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:17.736769,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:17.897550,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:18.056993,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:18.221408,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:18.376814,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:18.531958,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:18.687990,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:18.847873,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:19.007119,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:19.170406,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:19.325612,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:19.483253,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:19.642243,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:19.808686,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:19.972377,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:20.142550,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:20.359247,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:20.561130,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:20.767378,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:20.986589,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:21.188569,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:21.341389,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:21.502544,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:21.659388,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:21.815957,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:21.975815,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:22.143923,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:22.300453,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:22.458764,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:22.614522,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:22.764981,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:22.923292,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:23.081963,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:23.238869,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:23.391222,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:23.547181,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:23.705513,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:23.860929,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:24.021796,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:24.175588,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:24.332112,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:24.493190,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:24.662140,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:24.818708,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:24.974554,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:25.132502,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:25.291219,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:25.459083,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:25.617335,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:25.775104,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:25.930327,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:26.090354,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:26.251662,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:26.420787,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:26.587504,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:26.742064,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:26.897015,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:27.056967,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:27.220316,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:27.371908,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:27.528453,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:27.681983,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:27.841762,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:27.997462,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:28.151954,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:28.304182,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:28.463942,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:29:28.634343,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:29:28.793518,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:29:28.952262,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:29:29.104702,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:29:29.260544,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:29:29.420450,68.0,10,62.0,46.666666666666664,Job Interview
